"time","mech.Px","mech.Py"
49.14,50.09879866203652,1.4022168395473855
49.15,50.09705362675608,1.3898392456162156
49.16,50.09532406482733,1.377459480061514
49.17,50.093609978952706,1.365077562226638
49.18,50.09191137181048,1.3526935114583623
49.19,50.090228246054714,1.3403073471067515
49.2,50.08856060431531,1.3279190885251637
49.21,50.086908449197935,1.315528755070293
49.22,50.0852717832841,1.3031363661020023
49.23,50.083650609131084,1.290741940983402
49.24,50.08204492927196,1.2783454990807819
49.25,50.080454746215636,1.2659470597635796
49.26,50.07888006244674,1.2535466424043662
49.27,50.07732088042574,1.2411442663787575
49.28,50.075777202588824,1.2287399510654993
49.29,50.07424903134803,1.2163337158463179
49.3,50.072736369091096,1.203925580105956
49.31,50.071239218181574,1.1915155632321017
49.32,50.06975758095874,1.1791036846154377
49.33,50.06829145973768,1.1666899636495032
49.34,50.066840856809186,1.1542744197307364
49.35,50.065405774439824,1.141857072258425
49.36,50.06398621487194,1.12943794063467
49.37,50.06258218032356,1.1170170442643652
49.38,50.061193672988495,1.1045944025551506
49.39,50.0598206950363,1.0921700349174124
49.4,50.058463248612256,1.0797439607642119
49.41,50.05712133583735,1.0673161995113105
49.42,50.05579495880834,1.0548867705770348
49.43,50.05448411959768,1.0424556933824078
49.44,50.05318882025357,1.0300229873509785
49.45,50.05190906279989,1.0175886719088254
49.46,50.05064484923629,1.0051527664845956
49.47,50.04939618153808,0.9927152905093628
49.48,50.048163061656325,0.9802762634167053
49.49,50.04694549151774,0.9678357046425674
49.5,50.045743473024814,0.9553936336253415
49.51,50.044557008055676,0.9429500698057716
49.52,50.0433860984642,0.9305050326268862
49.53,50.04223074607991,0.9180585415340907
49.54,50.04109095270805,0.9056106159750144
49.55,50.03996672012956,0.8931612753995353
49.56,50.03885805010104,0.8807105392597308
49.57,50.03776494435479,0.8682584270099056
49.58,50.03668740459879,0.8558049581064466
49.59,50.03562543251669,0.8433501520079254
49.6,50.03457902976782,0.8308940281749564
49.61,50.0335481979872,0.8184366060702608
49.62,50.03253293878548,0.8059779051585103
49.63,50.031533253749025,0.7935179449064478
49.64,50.03054914443983,0.781056744782763
49.65,50.02958061239557,0.7685943242580819
